local_authority,timeperiod,percentage_of_adults_aged_18_classified_as_overweight_or_obese,utilisation_of_outdoor_space_for_exercise_health_reasons,percentage_of_physically_active_adults,percentage_of_physically_inactive_adults,percentage_of_adults_walking_for_travel_at_least_three_days_per_week,percentage_of_adults_cycling_for_travel_at_least_three_days_per_week,deprivation_score_imd_2015,proportion_of_the_population_meeting_the_recommended_5_a_day_on_a_usual_day_adults,proportion_of_the_population_with_gym_membership
Basildon,2018,59.7,36.9,66.5,21.2,23.5,1,23.6,56.4,9.9
Basildon,2019,68.1,29.1,58.4,31,16.4,1.6,23.6,55.8,10.8
Basildon,2020,59.5,25.2,69,21.5,15.5,12.4,23.6,56.4,9.6
Basildon,2021,68.7,28.1,64.7,23.3,14.8,3.7,23.6,55.8,11.5
Basildon,2022,64.2,29.1,73.3,16.5,13.6,4.5,23.6,55.4,9.3
Basildon,2023,60,25.2,66.7,23.4,13.6,1.3,23.6,56.4,10.1
Basildon,2024,58.7,29.1,73,19.2,13.7,1.3,23.6,55.8,11.4
Basildon,2025,60,24.5,67.4,21.5,8.7,2.8,23.6,55.8,8.5
Bedford,2006,69.4,15.2,60.8,23.5,32.5,0.4,19.2,54.2,10.8
Bedford,2007,66.6,16.6,60.5,23.4,31.7,4.8,19.2,55.1,9.9
Bedford,2008,69.5,10.1,54.6,25.9,27.5,3.7,19.2,54.6,8.7
Bedford,2009,68.7,17.8,62.7,24.5,23,1.1,19.2,55.7,10.7
Bedford,2010,68.7,20.7,62.6,21.9,21.2,1.9,19.2,56.6,11.5
Bedford,2011,66.3,18,56.4,31.4,17.7,3.6,19.2,54.6,11.4
Bedford,2012,65.1,25.2,68.1,21.6,27.5,3.4,19.2,56.4,10.7
Bedford,2013,70.1,29.1,62.2,25.4,18,3,19.2,55.4,10.6
Bedford,2014,68.5,24.5,62.3,23.5,15.9,2.5,19.2,55.6,9.9
Bedford,2015,56.7,13.2,63.8,21.5,14.4,2.8,19.2,54.5,9.9
Bedford,2016,60.2,20.7,64.3,22.8,19.4,4.6,19.2,55.8,9.4
Bedford,2017,60.9,27.6,63.5,26.6,21,5.7,19.2,56.4,10.7
Bedford,2018,63.9,24.5,67.7,25.1,20.1,2.6,19.2,55.8,10
Bedford,2019,61.6,29.1,65.2,24.7,10.9,4.4,19.2,55.8,10.3
Bedford,2020,64.8,28.1,65.8,24.5,14.9,1.1,19.2,55.4,12.2
Bedford,2021,66.9,29.1,61.1,27.4,9.9,3,19.2,56.4,12.4
Bedford,2022,65.6,24.5,71.1,21.4,14,3.5,19.2,55.6,10.7
Bedford,2023,62.6,28.1,65.8,24.4,12.7,2,19.2,55.4,12.4
Bedford,2024,61.9,29.1,71.4,21.7,10.9,1,19.2,55.8,10
Bedford,2025,60.5,24.5,69.8,21,7.9,1.1,19.2,55.8,10.3
Braintree,2006,59.6,16.6,63,18.9,32.5,3.4,15.3,56.6,9.9
Braintree,2007,66.6,14.5,63.8,19.1,26.9,3.2,15.3,55,9.3
Braintree,2008,56.3,16.6,64.4,19.1,32.3,7.7,15.3,56.4,12
Braintree,2009,65.1,16.6,58.8,25.5,23.3,1,15.3,54.8,9.4
Braintree,2010,67.5,24.5,71.4,14.9,27,0.8,15.3,56.4,10.7
Braintree,2011,66.4,15.1,60.8,24.5,27,0.8,15.3,55.6,10
Braintree,2012,64,29.1,68.2,19,27.5,2.8,15.3,55.8,12.4
Braintree,2013,69.4,36.9,61.9,23.3,22.9,1.6,15.3,55.6,10.3
Braintree,2014,63.5,10.1,67.3,21.5,24.1,3.3,15.3,55.9,10
Braintree,2015,59.3,15.1,57.8,23.2,16.3,1.4,15.3,55.4,9.7
Braintree,2016,60.8,24.5,66.5,23.2,21.6,2.4,15.3,55.8,11.1
Braintree,2017,63.1,25.2,67.6,19.2,22,1.8,15.3,55.8,10
Braintree,2018,65.1,24.5,63.6,21.2,16.9,0.9,15.3,55.4,10.2
Braintree,2019,61.2,36.9,65.1,23.7,11.8,1.1,15.3,55.4,10.6
Braintree,2020,62,29.1,66.5,20.8,10.9,2.2,15.3,55.6,10.3
Braintree,2021,56.5,29.1,69.1,21.7,16.3,3.9,15.3,56.4,12.2
Braintree,2022,59,28.1,73.4,16.5,18,2.3,15.3,55.4,11.2
Braintree,2023,61.9,36.9,63.5,24.4,11.1,0.5,15.3,56.4,11.4
Braintree,2024,59.6,36.9,63.2,26.3,9.9,2.9,15.3,55.6,9.6
Braintree,2025,61.9,29.1,67.8,21.7,9.9,4.5,15.3,55.4,9
Breckland,2006,62.9,14.5,63,21.5,34.6,7.7,19.8,55.3,10.9
Breckland,2007,70.2,17.8,59.8,22.1,26.5,1.1,19.8,54.4,9
Breckland,2008,57.8,16.6,61.7,21.7,32.3,0.8,19.8,54.2,10.3
Breckland,2009,55.3,15.2,70,16.6,35.8,3.3,19.8,55.4,12.4
Breckland,2010,62.8,13.2,60.8,22.1,32.5,4.4,19.8,54.9,10
Breckland,2011,65.1,24.5,62.8,23.7,22.5,4,19.8,55.8,9.3
Breckland,2012,59.6,16.6,60.8,24.1,20.1,2.1,19.8,56.5,9.4
Breckland,2013,63.2,22.2,60.4,24.8,22.9,1.6,19.8,56.4,9.9
Breckland,2014,64.1,24.5,71.1,18.5,7.7,1.1,19.8,56.4,10.8
Breckland,2015,66,22.2,59.5,30.3,14.4,1.9,19.8,54.9,10
Breckland,2016,59.6,27.6,65,24.5,16.6,2.5,19.8,55.8,12.2
Breckland,2017,64.7,36.9,65.6,22.4,15.5,1.4,19.8,55.4,10
Breckland,2018,67.8,25.2,65.2,23.7,11.4,1.6,19.8,56.4,10
Breckland,2019,66.5,24.5,63.8,23.8,11.5,0.8,19.8,55.8,11.5
Breckland,2020,63.3,29.1,68.7,19.4,7,4.9,19.8,55.4,9.3
Breckland,2021,65.3,29.1,75.1,17.8,11.4,3.5,19.8,55.4,12.2
Breckland,2022,64.4,25.2,72,19.3,11.1,2.5,19.8,55.8,10.7
Breckland,2023,70.6,24.5,61.9,25.9,10.3,3.6,19.8,56.5,10.3
Breckland,2024,56.7,28.1,74.8,15.2,15.5,0.7,19.8,55.8,9.9
Breckland,2025,65,29.1,70.1,21.4,9.9,1.4,19.8,55.6,10
Brentwood,2006,53.1,13.2,67.6,16,32.3,7.7,9.9,54.2,10.4
Brentwood,2007,60.6,21.2,62,21.7,33,2.8,9.9,55.7,10.7
Brentwood,2008,58.1,13.2,61.1,19.8,35.6,0.8,9.9,55.5,10.5
Brentwood,2009,59.8,12.4,64.3,19.4,23.6,0.4,9.9,55.6,11.5
Brentwood,2010,66,21.2,70.9,14.4,27.6,3.2,9.9,55.8,10.7
Brentwood,2011,60.5,27.6,65.5,18.9,30,2.3,9.9,56.4,12.2
Brentwood,2012,66,24.5,65,22.2,10.8,1.4,9.9,55.6,10.2
Brentwood,2013,62.1,21.2,65.3,21.6,25.2,3.2,9.9,56.5,10
Brentwood,2014,62.7,28.1,68,17.4,15.8,3.4,9.9,55.4,9.6
Brentwood,2015,58,24.5,68.6,18.3,26.7,2.3,9.9,55.8,10.7
Brentwood,2016,58.5,28.1,70.1,21.8,23.4,1.2,9.9,56.4,10.7
Brentwood,2017,59.3,24.5,65.8,22.5,25.7,0.4,9.9,55.8,11.1
Brentwood,2018,54.4,28.1,72.9,15.1,27.8,0.8,9.9,55.8,12.2
Brentwood,2019,61,25.2,74.1,16,14.3,0.1,9.9,55.8,10.7
Brentwood,2020,62,25.2,71.4,20.2,11.5,2.9,9.9,56.4,10.8
Brentwood,2021,59.8,28.1,68.7,21.5,13.6,3,9.9,55.8,10.2
Brentwood,2022,55.4,28.1,73.4,18.5,14.9,2,9.9,55.8,11.1
Brentwood,2023,56.9,28.1,73.3,18.6,11.5,2.1,9.9,55.8,10.8
Brentwood,2024,64.8,25.2,68.2,23.7,10.2,1,9.9,55.8,11.1
Brentwood,2025,54.4,29.1,73.1,19,16.9,1,9.9,55.6,10.7
Broadland,2006,57.7,13.2,63.2,18.4,35.6,3.3,11.1,55.5,9.4
Broadland,2007,53.1,12.4,62.7,17.2,33,0.4,11.1,55.8,9.7
Broadland,2008,66.3,13.7,58.8,23.1,21.2,4.5,11.1,55.6,9.6
Broadland,2009,57,13.2,61.1,19.1,31.7,2.2,11.1,54.6,9.1
Broadland,2010,60.9,24.5,66.7,19.8,35.6,3.2,11.1,55.4,10
Broadland,2011,64.8,20.7,60.4,21.9,25.1,1.3,11.1,56.1,10
Broadland,2012,63.2,29.1,73.3,13.4,14.4,1.3,11.1,55.8,11.2
Broadland,2013,61.4,25.2,57.8,25.7,22.8,1.1,11.1,55,10.3
Broadland,2014,64.4,36.9,64.4,21.4,19.8,5.1,11.1,55.4,11.5
Broadland,2015,59.9,29.1,70.1,19.8,12.1,4.2,11.1,55.8,10.6
Broadland,2016,60.9,28.1,72.3,17.8,14.2,3.6,11.1,55.8,10.8
Broadland,2017,59.6,21.6,63,24.5,15.2,3.9,11.1,55.8,10.8
Broadland,2018,59,24.5,69.7,21.3,12.1,3.5,11.1,56.4,10.8
Broadland,2019,66.1,28.1,75.5,17.3,10.8,1.2,11.1,56.4,10.8
Broadland,2020,63.1,28.1,73.7,18.4,14.9,5,11.1,56.4,10
Broadland,2021,54.4,28.1,71.8,17.9,26.4,4,11.1,55.4,10.6
Broadland,2022,55.6,24.5,71,17.1,21.8,1.1,11.1,55.8,10.7
Broadland,2023,58.9,25.2,70.9,19.3,14,7.8,11.1,56.4,10
Broadland,2024,60.1,36.9,73.1,18.3,11.8,2.6,11.1,55.8,12.2
Broadland,2025,55.6,24.5,71.7,22.4,9.9,2.1,11.1,56.4,10
Broxbourne,2006,68.4,15.1,61.9,22.2,26.9,1.3,17.3,55.7,10.3
Broxbourne,2007,61.8,13.7,60.5,24.5,32.5,11.2,17.3,55.4,11.5
Broxbourne,2008,59.5,20.7,63.4,19.6,32.9,4.8,17.3,55.4,10
Broxbourne,2009,66,14.5,56.6,24.6,17.7,1.4,17.3,54.6,9.7
Broxbourne,2010,56.9,14.5,63.4,18.8,20.1,5.1,17.3,55.4,8.2
Broxbourne,2011,66,24.5,58.8,24.7,31.7,1.5,17.3,54.5,10.9
Broxbourne,2012,63.3,18,61.8,21.5,26.2,1.5,17.3,56.5,10.5
Broxbourne,2013,68.3,24.5,65.3,21,21.6,1.7,17.3,55.8,11.5
Broxbourne,2014,56.9,14.5,62.2,21.9,20.1,1,17.3,54.4,8.5
Broxbourne,2015,61.1,27.6,61.6,22.4,23.8,2.2,17.3,56.4,11.1
Broxbourne,2016,64.1,28.1,63.9,26,18.7,0.6,17.3,55.8,10.8
Broxbourne,2017,70.2,25.2,59.5,27.9,18.1,0.3,17.3,55.7,12.2
Broxbourne,2018,64.2,36.9,69.3,20.6,20.7,1.3,17.3,55.8,10.8
Broxbourne,2019,59.1,21.2,60.4,26.8,7.9,1.6,17.3,55.8,12
Broxbourne,2020,61.9,29.1,66.4,23.7,17.5,4.4,17.3,55.6,10.2
Broxbourne,2021,57.4,25.2,73.3,18.4,7.9,3,17.3,55.4,9.4
Broxbourne,2022,66.6,24.5,71.5,21.8,13.2,1.3,17.3,55.8,11.1
Broxbourne,2023,58.9,25.2,77.1,17.2,10.2,2.2,17.3,55.6,10.8
Broxbourne,2024,57.3,29.1,66.5,24.5,14.9,0.9,17.3,55.8,11.1
Broxbourne,2025,61.9,29.1,66.4,25.7,13.2,2.1,17.3,55.4,10.8
Cambridge,2006,66.6,12.4,58.3,22.1,22.5,2.3,13.8,55.6,8.9
Cambridge,2007,55.3,12.4,65.5,17.8,33,0.8,13.8,56.6,10.6
Cambridge,2008,62.4,21.2,67.4,18.9,21.7,3.6,13.8,55.6,11.5
Cambridge,2009,55.3,13.7,64.4,19.4,35.8,13,13.8,54.4,10.4
Cambridge,2010,62.3,20.7,64.7,21.4,23.7,2.2,13.8,56.5,10
Cambridge,2011,61.8,14.5,72.3,14.8,28.7,11.2,13.8,55.4,11.5
Cambridge,2012,60,15.2,63.3,22.6,26.5,3.9,13.8,54.4,10
Cambridge,2013,66.1,19.4,58.6,27.3,18.3,3,13.8,53.5,10.3
Cambridge,2014,65.1,24.5,66.6,18.4,25.7,2.1,13.8,55.8,10.2
Cambridge,2015,50.2,14.5,78.4,13.3,32.9,36.2,13.8,56.4,10.6
Cambridge,2016,50.1,16.6,77.1,13.8,32.3,31.8,13.8,55.8,9.9
Cambridge,2017,43.4,13.7,80.1,12,33,35.4,13.8,55.8,10.1
Cambridge,2018,52.8,13.7,75.2,13.4,34.6,34.6,13.8,56.4,9.9
Cambridge,2019,46.4,16.6,75,15.7,22.5,20.9,13.8,55.4,10
Cambridge,2020,64.8,25.2,75.2,15,16.4,3.2,13.8,55.6,10
Cambridge,2021,58.7,28.1,72.9,17.8,15.5,1.6,13.8,55.6,10
Cambridge,2022,59,29.1,66.5,21.3,9.6,3.1,13.8,55.6,10.6
Cambridge,2023,56.9,28.1,73.1,18.3,24.8,7.9,13.8,56.4,12.2
Cambridge,2024,62.4,28.1,60.5,30.6,11.7,1,13.8,55.4,10.7
Cambridge,2025,58,28.1,71.4,19.4,16.7,1.8,13.8,55.6,12.2
Castle Point,2006,64,13.7,61.4,20.9,34.6,3.2,16.6,54.7,11.4
Castle Point,2007,59.3,10.1,63.5,19.1,34.6,4.8,16.6,54.9,9.6
Castle Point,2008,58.6,13.7,60.7,19.4,35.6,11.2,16.6,54.4,9.3
Castle Point,2009,53.1,13.7,66.7,17.2,34.6,3.4,16.6,56.6,11.1
Castle Point,2010,64.6,21.6,59.6,25.4,17.7,1.9,16.6,54.4,10.4
Castle Point,2011,57.4,10.1,65.2,19.3,27.6,0.8,16.6,53,10.3
Castle Point,2012,59.6,25.2,66.7,19.4,30,3.3,16.6,55.4,12.4
Castle Point,2013,62.6,20.7,70.8,17.3,13.8,2.8,16.6,55.6,10.4
Castle Point,2014,65.1,29.1,61.1,25.4,13.6,2.5,16.6,55.4,9.3
Castle Point,2015,67.5,24.5,69.9,22.1,24.3,2,16.6,56.4,10.7
Castle Point,2016,65.1,28.1,61.3,25,16.7,1.7,16.6,55.6,10.1
Castle Point,2017,67.5,29.1,68.4,21.4,26.2,4.6,16.6,55.8,11.1
Castle Point,2018,65.6,24.5,61.4,27.9,22.9,1.6,16.6,55,10.7
Castle Point,2019,73.7,36.9,66.5,21.5,13.2,1.1,16.6,55.8,10
Castle Point,2020,58.8,28.1,66.7,22.8,24.3,4,16.6,55.6,12.2
Castle Point,2021,59.5,24.5,68.3,21.7,11,1,16.6,55.6,11.4
Castle Point,2022,61.2,36.9,61.1,29.3,15.6,2.8,16.6,56.4,10.8
Castle Point,2023,58.7,28.1,72.9,17.4,10.3,6.6,16.6,55.4,9.9
Castle Point,2024,59.8,29.1,73.7,15.2,10.2,1,16.6,55.4,10.8
Castle Point,2025,55.3,25.2,73.4,21.3,15.4,1.5,16.6,55.4,12.2
Central Bedfordshire,2006,57.2,15.2,64.3,17.2,32.3,5,12.2,56.5,12
Central Bedfordshire,2007,60.7,13.7,62.8,22.1,27.5,6.2,12.2,54.8,9.9
Central Bedfordshire,2008,60,20.7,60.9,21,32.9,4,12.2,54.5,9
Central Bedfordshire,2009,67,18,61.1,24.5,17.5,2.4,12.2,55.7,10
Central Bedfordshire,2010,66.1,29.1,62.6,22.8,15.8,1.7,12.2,56.4,11.5
Central Bedfordshire,2011,54.4,15.2,64.4,18.4,26.9,1.7,12.2,56.5,10.5
Central Bedfordshire,2012,61.2,21.6,63.6,20.8,22.3,6.6,12.2,56.4,9.6
Central Bedfordshire,2013,58.6,27.6,68.7,19.8,24.3,5.9,12.2,55.8,10.8
Central Bedfordshire,2014,60.5,28.1,70.9,17.9,27.5,4.1,12.2,55.6,10.7
Central Bedfordshire,2015,59.8,21.2,66.5,18.8,18.7,0.7,12.2,55.4,10.5
Central Bedfordshire,2016,64.2,24.5,70.8,18,17,3.1,12.2,55.6,10.7
Central Bedfordshire,2017,61,29.1,63.4,22.4,20.8,1.1,12.2,55.4,10
Central Bedfordshire,2018,62.9,24.5,65.3,21.5,15.9,3.7,12.2,55.4,10.6
Central Bedfordshire,2019,58.1,29.1,67,21,7.7,1.1,12.2,55.6,10.3
Central Bedfordshire,2020,60.3,28.1,68.6,22.2,15.2,1,12.2,55.6,10.2
Central Bedfordshire,2021,55.7,24.5,75.1,16,17.9,1.5,12.2,55.6,10.7
Central Bedfordshire,2022,58,24.5,67.2,19.4,12.1,0.7,12.2,55.6,9.6
Central Bedfordshire,2023,62.4,25.2,66.6,23.8,13.2,0.7,12.2,56.4,10.2
Central Bedfordshire,2024,56.9,28.1,67.4,21.2,16.4,5.7,12.2,55.4,10.3
Central Bedfordshire,2025,56.9,29.1,70.8,21.8,15.6,1.3,12.2,56.4,10.8
Chelmsford,2006,58.1,12.4,66.5,16.9,35.8,11.2,12.4,55.4,9.6
Chelmsford,2007,48.9,13.7,75.5,13.3,32.3,31.8,12.4,55.4,10.3
Chelmsford,2008,62.4,12.4,59.8,21.4,22.8,3.7,12.4,55.6,9.1
Chelmsford,2009,54.4,12.4,61.7,21.7,32.9,12,12.4,55.4,10
Chelmsford,2010,66.9,28.1,62.8,21.7,32.5,3.5,12.4,56.4,10.8
Chelmsford,2011,62.6,24.5,65.2,21.5,27.6,6.2,12.4,55.6,10.8
Chelmsford,2012,59.6,12.4,64.7,16.6,25.1,4,12.4,55,10.3
Chelmsford,2013,60.3,21.2,67.8,17.9,26.4,11.2,12.4,55.6,10.7
Chelmsford,2014,58.7,28.1,71.6,17.9,23,4.4,12.4,55.4,10.8
Chelmsford,2015,59.8,20.7,67.3,22.2,21.2,4.4,12.4,55.8,10.6
Chelmsford,2016,63.3,25.2,67.9,22.1,18.4,4.2,12.4,55.6,11.1
Chelmsford,2017,57.4,17.8,62.7,23.7,20.3,5.1,12.4,56.1,11.1
Chelmsford,2018,61.9,25.2,71.4,17.4,22,2,12.4,55.4,10.2
Chelmsford,2019,59.8,29.1,71.1,19.2,17.4,5,12.4,56.4,10
Chelmsford,2020,61.8,24.5,66.5,21,10.9,1.9,12.4,55.4,10.9
Chelmsford,2021,61.1,29.1,75,17,13.6,1.8,12.4,55.8,10.8
Chelmsford,2022,62.1,36.9,74.8,18.5,13.2,3.4,12.4,55.4,10.8
Chelmsford,2023,59.8,29.1,73.1,19.2,14,3.9,12.4,55.4,11.1
Chelmsford,2024,51.1,24.5,75.1,16.8,8.7,0.7,12.4,55.8,10.9
Chelmsford,2025,56.9,24.5,68.5,20.3,11.7,2.5,12.4,55.8,12.4
Colchester,2006,57.8,14.5,59.8,21.7,31.7,4.8,16.9,54.4,9
Colchester,2007,63.2,16.6,58.4,23.7,22.5,3.6,16.9,54.3,9.3
Colchester,2008,59.1,12.4,57.7,25.7,22.5,1.5,16.9,55.6,9.6
Colchester,2009,59.5,17.8,68.1,18.9,35.6,11.2,16.9,56.4,11.1
Colchester,2010,58.7,16.6,60.9,21.7,21.7,4.3,16.9,55.7,9.7
Colchester,2011,60.6,13.7,61.4,24.5,24.4,3.2,16.9,54.8,9.4
Colchester,2012,70.5,15.1,61.8,23.7,14.4,4.6,16.9,53.6,9.3
Colchester,2013,67.2,25.2,63.3,23.4,20.9,1.2,16.9,55.8,10.8
Colchester,2014,63.2,28.1,70.7,17.9,25.7,3.4,16.9,55.4,12.2
Colchester,2015,60.6,21.2,74.3,16.6,22.2,4.8,16.9,55.6,12.2
Colchester,2016,64.4,36.9,67.2,21.6,21.8,5,16.9,56.4,10.7
Colchester,2017,56.5,20.7,67.7,18.4,20.3,2.2,16.9,56.4,9.9
Colchester,2018,60,29.1,71.4,17.2,24.5,2.4,16.9,55.4,9.3
Colchester,2019,62.4,28.1,72.6,17.9,19.8,2.8,16.9,55.8,10.8
Colchester,2020,62,36.9,73.7,17.1,10.9,2.6,16.9,55.8,9.9
Colchester,2021,69.1,36.9,69,21.9,13.6,3.4,16.9,56.4,10.7
Colchester,2022,57.9,19.4,60.5,27.4,9.6,4,16.9,54.2,9.4
Colchester,2023,54,24.5,74.9,15.3,13.7,1.5,16.9,55.8,10.4
Colchester,2024,62.9,28.1,66.3,25.1,9.9,3.3,16.9,55.8,12.2
Colchester,2025,55.3,28.1,71.1,19.6,14.9,2.6,16.9,55.8,9.4
Dacorum,2006,68.5,13.7,59.9,21.7,35.6,5.5,12.2,52.8,10.6
Dacorum,2007,68,21.2,62.8,19.5,21.7,4.5,12.2,56.1,9.4
Dacorum,2008,59.8,13.2,63.3,19.3,35.6,12,12.2,54.9,11.2
Dacorum,2009,58.8,13.7,61.8,19.1,32.5,7.7,12.2,55.6,9
Dacorum,2010,55.6,12.4,65,18.3,21.7,2.8,12.2,56.6,9
Dacorum,2011,64,18,62.7,21.2,25.9,2.8,12.2,55.4,10
Dacorum,2012,66.6,28.1,60.8,24.7,19.4,2.8,12.2,55.2,10.7
Dacorum,2013,58.7,24.5,61.1,24.7,23.4,4.6,12.2,55.2,10
Dacorum,2014,57.8,29.1,70.1,17.8,32.5,3.2,12.2,56.4,10
Dacorum,2015,57.1,21.2,65.5,25,19.4,1.2,12.2,55.2,10.8
Dacorum,2016,61.7,28.1,72.3,19,20.2,3.5,12.2,55.8,10
Dacorum,2017,60.7,24.5,68.3,19.6,20.1,1.8,12.2,55.4,10.2
Dacorum,2018,58.8,29.1,73.3,15.8,22.6,1.6,12.2,56.4,10
Dacorum,2019,60.3,25.2,75.2,17.2,14,0.8,12.2,55.8,11.1
Dacorum,2020,62.7,28.1,67.6,22.1,14.9,2.6,12.2,55.8,12.2
Dacorum,2021,70.5,25.2,69,20.9,8.7,0.8,12.2,55.6,12.2
Dacorum,2022,63.2,24.5,61.7,25.8,11.1,2.4,12.2,54.4,10
Dacorum,2023,55.4,29.1,74.3,16.9,14.4,1.5,12.2,56.4,10
Dacorum,2024,55.6,25.2,66.4,21,10.9,4,12.2,55.6,9.9
Dacorum,2025,57.6,28.1,71.4,19.3,8.7,2,12.2,55.8,11.1
East Cambridgeshire,2006,62.7,13.2,63.8,19.3,35.8,13,12.1,56.1,9.9
East Cambridgeshire,2007,60.7,15.2,65.1,19.2,32.5,11.2,12.1,54.7,10
East Cambridgeshire,2008,61.9,20.7,68.6,14.9,35.8,13,12.1,55.6,10.9
East Cambridgeshire,2009,51.1,14.5,71.8,13.8,31.7,31.8,12.1,56.4,10.3
East Cambridgeshire,2010,58.5,13.2,68.2,17.8,21.2,0.4,12.1,55.4,10.3
East Cambridgeshire,2011,60.3,19.4,71.4,15,27,11.2,12.1,56.4,10.6
East Cambridgeshire,2012,60.1,15.1,63.4,18.8,27.6,1.7,12.1,55.7,9.6
East Cambridgeshire,2013,58.8,14.5,59.9,22.1,23.4,2.3,12.1,55.3,9
East Cambridgeshire,2014,60.5,15.1,63.3,21.9,13.6,3.7,12.1,55.9,9.7
East Cambridgeshire,2015,66.3,25.2,63.6,24.6,19.3,4.3,12.1,55.8,12.2
East Cambridgeshire,2016,58.6,24.5,62.8,23.3,25.1,3.5,12.1,55.8,10.2
East Cambridgeshire,2017,60,28.1,67.4,19.9,16.1,4.3,12.1,55.8,9.4
East Cambridgeshire,2018,62.2,29.1,66.2,20.3,20.8,4.4,12.1,56.4,10.7
East Cambridgeshire,2019,58.8,24.5,70.9,16,15,2.9,12.1,55.4,10
East Cambridgeshire,2020,62.1,29.1,67.1,19.3,16.9,1.7,12.1,55.4,9.4
East Cambridgeshire,2021,61.8,25.2,65.2,21.5,15.6,2.2,12.1,55.8,11.5
East Cambridgeshire,2022,58.9,29.1,68.3,21.5,10.3,2.6,12.1,56.4,12.2
East Cambridgeshire,2023,61.9,36.9,70.7,19.4,10.9,5,12.1,55.8,10.7
East Cambridgeshire,2024,54.4,29.1,75,15.8,10.3,4.7,12.1,55.8,10.3
East Cambridgeshire,2025,50.3,28.1,75,15.2,14.3,1.6,12.1,56.4,11.5
East Hertfordshire,2006,57.8,15.2,62.3,19,35.8,2.9,8.1,55,12.4
East Hertfordshire,2007,60.8,13.2,64.9,22.1,20.1,3.9,8.1,52.8,11.2
East Hertfordshire,2008,57.7,10.1,66.2,18.9,35.6,13,8.1,54.6,10.7
East Hertfordshire,2009,58.8,12.4,62.3,19.6,22.9,1.7,8.1,54.9,10.1
East Hertfordshire,2010,60.3,12.4,66.5,20.2,14.2,1.5,8.1,56.1,10
East Hertfordshire,2011,58.7,21.2,65.7,19.4,25,4.7,8.1,55.8,10
East Hertfordshire,2012,63.3,29.1,66,18.9,17.7,0.9,8.1,55.8,10.9
East Hertfordshire,2013,54,10.1,68.2,14.8,26.9,5.9,8.1,55.2,9.9
